"filename", "language", "Markdown", "HTML", "XML", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\map.js", "JavaScript", 0, 0, 0, 0, 49, 0, 1, 11, 61
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\modernizr.js", "JavaScript", 0, 0, 0, 0, 609, 0, 510, 288, 1407
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\navbar.js", "JavaScript", 0, 0, 0, 0, 46, 0, 7, 6, 59
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\personalArea.js", "JavaScript", 0, 0, 0, 0, 104, 0, 1, 17, 122
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\rating.js", "JavaScript", 0, 0, 0, 0, 26, 0, 2, 10, 38
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\singleImage.js", "JavaScript", 0, 0, 0, 0, 5, 0, 1, 3, 9
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\js\utils\Observable.js", "JavaScript", 0, 0, 0, 0, 27, 0, 1, 7, 35
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\partials\_layout.scss", "SCSS", 0, 0, 0, 14, 0, 0, 2, 4, 20
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\partials\_mixins.scss", "SCSS", 0, 0, 0, 34, 0, 0, 4, 9, 47
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\partials\_variables.scss", "SCSS", 0, 0, 0, 9, 0, 0, 4, 8, 21
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\resources\scss\style.scss", "SCSS", 0, 0, 0, 315, 0, 0, 27, 73, 415
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\agb.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\detailedEvent.html", "HTML", 0, 217, 0, 0, 0, 0, 20, 10, 247
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\detailedLocation.html", "HTML", 0, 444, 0, 0, 0, 0, 56, 38, 538
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\locations.html", "HTML", 0, 187, 0, 0, 0, 0, 27, 15, 229
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\map.html", "HTML", 0, 73, 0, 0, 0, 0, 12, 10, 95
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\notice.md", "Markdown", 29, 0, 0, 0, 0, 0, 0, 7, 36
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\singleImage.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 1, 15
"d:\GitHub\mme-ws19-projekte-veranstaltungskatalog_lippl_meyer\app\sites\userprofile.html", "HTML", 0, 345, 0, 0, 0, 0, 41, 17, 403
"Total", "-", 31, 1556, 29, 372, 10102, 1195, 2339, 2576, 18200
